age,gender,shower,out_freq,active_time,hiki_period,sleep_hours,meal_count,isolation
21,1,7,1,2,3,5,2,0.3942931793968014
23,1,7,4,1,69,10,2,0.14617156669624295
29,0,7,4,3,19,10,3,0.19640828735719237
31,0,7,3,3,78,5,2,0.3027921576658018
24,0,3,3,0,90,3,2,0.900045046445825
24,0,3,4,1,43,8,2,0.5004142367026713
25,0,3,2,2,4,8,2,0.3337618861599836
28,0,3,3,0,187,4,1,0.9712471958065961
32,0,3,1,2,190,4,2,0.9784964079389573
36,0,3,1,2,16,11,2,0.8991258406437996
37,0,1,0,2,2,6,2,0.6114559972439808
33,0,7,4,2,57,5,1,0.5705994485835953
23,1,7,3,2,0,5,3,0.06050523749379667
32,0,0,4,3,10,10,2,0.3417643366081469
34,1,3,4,1,24,12,2,0.32592173020100806
38,0,7,4,2,0,6,3,0.0469161421399008
35,0,7,1,2,186,7,2,0.9415599656337198
27,1,7,3,2,39,5,2,0.39134031552552034
33,1,3,4,2,1,7,1,0.35676082222336836
22,1,3,3,0,2,7,2,0.40816299603719985
20,0,7,4,1,28,7,1,0.3164268895622758
33,0,3,4,2,11,9,2,0.401193131209257
37,1,7,2,1,3,7,2,0.08111926111917885
36,0,3,3,2,10,9,2,0.4671057291157117
28,1,7,4,1,231,8,2,0.46637549669581
21,1,1,1,3,81,5,2,0.8735373417377222
30,0,7,1,2,24,5,2,0.7593810169389497
36,0,7,0,0,41,5,1,0.9888477789145682
36,0,0,3,2,29,5,2,0.29146336227934916
30,1,3,4,2,12,5,4,0.401193131209257
32,0,3,4,3,6,8,2,0.31135061170657247
22,0,3,4,3,50,10,3,0.5884860853416161
38,0,3,1,2,19,7,1,0.9601610916539437
37,0,7,4,0,5,11,3,0.16615587055551284
19,0,7,0,2,18,11,2,0.850075151553441
36,1,7,2,2,6,6,2,0.1506541603958824
27,0,7,4,2,4,7,3,0.0666218676473796
27,1,7,4,2,24,5,2,0.19173799367157632
33,1,7,4,2,8,6,3,0.13851507233090157
26,1,7,2,2,10,4,1,0.5193222190410408
30,0,3,4,1,13,10,3,0.24682631673778008
22,0,3,1,1,231,6,3,0.9374826873023893
28,1,3,2,3,181,6,3,0.8558188755821713
24,0,7,3,1,60,6,2,0.17093539450441786
30,0,7,4,1,3,8,2,0.04980215760699774
21,1,1,1,2,179,8,1,0.9768841437299721
32,1,3,3,1,211,6,2,0.7482867585153717
33,1,7,4,3,1,6,2,0.09942441049554852
23,0,0,1,0,72,6,2,0.993679139179092
24,0,7,4,2,16,6,3,0.13851507233090157
22,0,7,1,2,219,4,2,0.9415599656337198
32,0,3,4,3,4,5,3,0.23456086545504606
20,1,7,4,3,63,4,3,0.19640828735719237
21,1,7,1,0,4,7,2,0.7963842576183967
25,0,7,1,1,4,7,2,0.5027492335665626
36,0,3,1,1,16,6,2,0.812513978091017
35,0,7,1,3,36,5,1,0.8973252221907827
38,1,3,4,2,6,7,3,0.16776966098078253
25,1,7,4,3,0,7,3,0.06961888680922525
20,1,7,4,2,2,11,2,0.06770942671755258
32,0,7,0,0,20,5,2,0.9088127883060475
24,0,7,4,2,27,5,3,0.13851507233090157
23,1,1,4,1,36,10,2,0.19774993840002228
24,1,3,2,2,7,8,2,0.5301832089223527
23,0,7,4,1,7,6,1,0.3164268895622758
31,1,0,4,2,10,4,4,0.25460057342619274
34,1,3,3,2,230,8,2,0.8173477397232973
30,0,7,4,2,6,4,3,0.0666218676473796
37,0,3,4,2,177,5,2,0.7737751171854721
32,0,0,1,3,11,7,2,0.8231266594785767
34,0,7,1,2,19,6,3,0.6814334044724342
28,1,7,4,3,27,10,2,0.2650325116032955
20,0,7,2,0,25,3,2,0.7151865219044631
23,0,3,4,3,68,10,3,0.4083874786832369
35,0,7,4,3,171,6,3,0.5551131985354308
29,0,7,4,2,40,5,3,0.24986498513370112
26,0,3,3,2,5,5,1,0.49201301497601707
28,0,7,4,3,4,7,2,0.13799151878469615
29,1,7,4,0,8,12,2,0.3984089101362767
19,1,7,4,2,5,7,2,0.0952756906627491
33,1,7,1,2,174,2,2,0.9731681902476471
25,1,7,3,1,15,8,1,0.35794271339204065
21,0,3,1,2,104,6,3,0.8784565758577353
37,0,3,4,3,17,10,3,0.4083874786832369
33,1,7,0,0,26,5,3,0.8710531268981131
34,0,7,0,3,28,4,1,0.936198904528452
25,0,7,1,0,8,8,3,0.8009267673563681
24,1,7,1,2,0,5,2,0.3942931793968014
23,0,0,1,0,36,6,1,0.9861227802952567
21,1,1,4,0,13,6,2,0.4881105158156676
21,1,7,2,2,12,6,2,0.2854919466483189
24,0,3,3,1,90,4,2,0.529026089833733
21,1,3,4,0,117,6,3,0.6924150942904136
25,1,1,1,2,14,4,3,0.6747990290137521
38,1,3,4,0,6,6,3,0.36011618545104596
31,1,3,2,1,63,5,2,0.4488513055637217
29,0,3,4,2,2,6,2,0.17020729105823318
26,0,7,4,3,9,9,2,0.2650325116032955
33,0,0,1,3,57,8,3,0.9065337417782303
38,1,3,1,3,189,11,1,0.9921265945922813
37,0,7,4,2,15,11,1,0.39077668936847837
26,1,7,4,2,5,6,2,0.0952756906627491
34,1,7,0,0,8,4,2,0.940579001845366
38,0,3,1,1,162,7,2,0.9704479409996584
28,0,3,3,3,27,7,3,0.4745453532492733
21,0,7,4,2,2,11,3,0.0469161421399008
24,1,7,4,3,4,5,2,0.13799151878469615
34,1,7,4,2,200,5,2,0.5477271131353904
31,1,7,1,2,22,9,2,0.6801282715042763
27,1,7,2,1,22,11,3,0.1634888307970239
20,1,7,1,0,10,3,3,0.9688247307575961
38,0,7,3,1,1,7,2,0.06417089461205494
35,1,3,4,3,9,6,2,0.5045714971936305
24,0,7,4,2,4,5,3,0.0666218676473796
36,0,7,1,0,112,5,2,0.9133477696785759
19,0,3,4,0,21,10,2,0.6516185144181187
31,1,7,2,2,2,9,2,0.10899547604453799
28,0,7,4,2,35,5,2,0.19173799367157632
23,1,3,4,3,162,10,2,0.8386928733933798
31,1,7,4,2,1,7,2,0.06770942671755258
24,0,7,4,0,2,7,2,0.1685748023948792
34,0,7,4,2,28,5,3,0.13851507233090157
26,0,0,4,0,4,8,2,0.8861840543416662
37,1,3,0,2,148,9,3,0.9721358131834341
35,0,3,2,2,2,4,1,0.4829878104246954
22,1,7,3,1,62,6,2,0.17093539450441786
27,0,3,1,0,26,6,3,0.9633272533687152
21,0,3,4,2,6,11,2,0.22924216265835395
28,0,7,3,2,193,9,2,0.6130664235278493
30,0,7,4,2,237,6,2,0.5477271131353904
23,1,3,1,0,33,5,2,0.9613654099685319
24,0,1,4,3,34,5,3,0.2603089198669121
32,1,0,1,3,6,5,3,0.9429770695002639
29,0,7,4,3,159,11,2,0.6480033370804856
27,0,7,1,2,215,6,2,0.9415599656337198
29,0,7,4,3,9,4,2,0.2650325116032955
30,0,7,1,2,77,4,2,0.6801282715042763
20,1,7,3,2,2,4,2,0.08677289082782383
25,1,7,4,2,5,2,2,0.19163461961068115
27,1,1,4,2,4,7,3,0.09319398502573192
24,1,7,4,3,7,10,2,0.2650325116032955
22,0,7,4,3,19,5,3,0.19640828735719237
24,1,0,1,2,39,5,3,0.8112752006679335
30,1,7,3,2,1,10,2,0.08677289082782383
35,1,3,1,2,165,9,3,0.9540844150248363
21,1,7,1,0,25,4,4,0.8558226120892807
32,1,7,4,2,61,7,2,0.19173799367157632
27,1,7,4,2,0,6,2,0.06770942671755258
29,1,3,3,2,12,4,1,0.7032746274998402
34,1,7,4,0,107,9,3,0.443535433830887
34,0,7,0,3,12,6,2,0.8444015846998059
25,1,7,3,2,76,4,2,0.2222124296375601
24,1,3,4,0,210,4,0,0.9939058257640088
23,1,1,1,1,5,8,2,0.495150554651488
35,1,7,4,2,6,5,3,0.0666218676473796
36,0,7,4,2,3,8,3,0.0469161421399008
34,1,7,1,3,176,11,3,0.9179240774001722
31,1,7,1,3,5,6,3,0.5907460945806399
36,1,7,4,2,32,4,2,0.19173799367157632
31,1,7,3,2,8,5,3,0.1737974195454624
28,0,3,4,3,3,7,2,0.31135061170657247
25,1,3,4,3,49,4,2,0.6784444771152031
31,0,3,0,1,26,6,2,0.8791743420430418
35,1,7,0,0,123,9,3,0.9718197892226758
28,1,3,4,2,124,7,2,0.7737751171854721
23,0,3,3,3,27,5,3,0.4745453532492733
19,1,3,4,2,4,5,3,0.16776966098078253
28,0,3,4,2,56,4,1,0.7896069035061241
24,0,7,1,3,11,6,2,0.8275085311137813
24,1,7,4,1,51,10,3,0.19379685508492317
31,0,3,3,0,5,7,0,0.7211301731966673
35,0,7,3,2,73,2,3,0.3213624251112474
36,0,3,2,0,42,9,2,0.8671375353406136
31,1,7,4,2,0,11,2,0.06770942671755258
37,0,7,4,3,9,6,3,0.19640828735719237
25,0,7,4,2,12,5,2,0.19173799367157632
25,1,3,4,1,5,10,2,0.17671151935013055
26,0,7,4,0,40,7,2,0.9949453471871207
30,0,3,1,2,45,8,1,0.9711305049130918
20,0,7,1,0,5,11,2,0.8589894446115243
29,0,3,2,1,48,7,2,0.6278566967842378
22,1,0,2,2,39,4,2,0.5437621463256205
33,0,7,4,0,225,11,2,0.8865676817234908
19,0,7,2,3,0,4,3,0.11192945168400854
27,0,3,0,2,121,7,1,0.9954965890785269
27,1,3,0,2,9,6,2,0.9412241832652388
23,1,7,2,0,3,7,3,0.18796193938017733
34,0,3,2,2,4,9,2,0.3337618861599836
33,1,7,0,1,1,8,4,0.44095469390483794
32,1,1,1,2,9,5,3,0.7548963274853566
22,1,7,4,1,21,4,3,0.1039700280549616
24,1,7,4,2,22,8,3,0.13851507233090157
28,0,7,1,2,3,6,2,0.4914074137621636
29,0,1,3,3,5,3,3,0.3151174462638161
21,0,1,4,0,27,7,3,0.3925779182276662
22,0,3,4,3,4,5,3,0.23456086545504606
33,1,3,4,2,54,11,2,0.5812360910981134
29,0,3,1,2,12,8,2,0.8991258406437996
31,1,7,3,2,9,9,3,0.1737974195454624
23,1,7,3,2,205,5,2,0.6130664235278493
32,0,7,2,2,29,11,3,0.21310624157706284
29,0,3,4,3,13,6,2,0.5045714971936305
25,1,7,2,0,1,5,2,0.4411777800322253
28,1,0,3,0,4,10,3,0.25680313802321236
27,0,7,4,2,1,6,2,0.06770942671755258
28,0,3,4,2,34,6,3,0.3122936162960593
20,1,7,1,0,9,7,2,0.8980685915132466
31,1,7,4,1,2,6,2,0.04980215760699774
38,1,7,2,2,0,10,2,0.10899547604453799
26,1,7,4,0,62,7,3,0.3098071510462749
20,0,0,4,1,2,5,2,0.0701700758807241
28,0,3,1,3,114,6,3,0.9422204937037593
36,1,7,1,3,239,5,2,0.9428588435009359
37,0,3,2,2,49,9,2,0.7004046962555395
36,0,7,3,3,3,8,2,0.1262083708756705
31,1,3,4,2,66,6,2,0.401193131209257
24,0,7,0,1,4,10,2,0.5335184474937743
30,0,7,1,2,7,7,2,0.7593810169389497
38,1,7,0,2,207,6,1,0.9801114640979869
36,0,3,3,3,20,8,2,0.5712652677218227
37,1,1,1,2,21,6,2,0.7537834173549436
25,1,7,4,3,43,5,2,0.4276053908218187
26,1,7,4,2,78,5,3,0.13851507233090157
29,1,1,0,0,8,5,3,0.9574191615394236
36,0,7,1,0,91,4,2,0.9133477696785759
21,0,7,1,0,6,7,2,0.9320757521716394
21,1,3,2,0,203,5,2,0.941463500619538
23,0,1,1,0,71,2,2,0.9505924811773085
21,1,3,2,3,20,7,3,0.5376139353058357
19,0,3,1,3,29,10,1,0.9610636405755169
24,1,3,1,2,111,6,2,0.9405732153277967
33,0,7,3,1,9,7,2,0.18298990743485014
34,1,7,4,3,26,4,1,0.493683853920291
20,0,7,4,1,224,7,2,0.46637549669581
26,0,7,0,2,200,4,2,0.9848854943034691
23,1,7,4,2,82,5,3,0.13851507233090157
32,1,1,4,0,74,11,2,0.4881105158156676
37,1,7,4,1,1,5,2,0.04980215760699774
22,0,7,0,1,13,6,3,0.7349873740536589
29,0,3,4,3,7,6,2,0.9844253887894093
32,0,3,1,1,114,8,1,0.9541450213483691
37,0,7,1,3,64,6,2,0.763712844466626
21,0,7,2,1,3,6,2,0.08111926111917885
19,1,7,1,2,51,10,2,0.8673392262823717
26,1,7,2,3,50,11,2,0.5571857181089149
25,1,7,4,0,18,11,2,0.3984089101362767
27,0,3,4,2,45,4,0,0.9111491539516843
21,0,7,4,3,7,4,3,0.19640828735719237
25,0,3,3,1,3,9,2,0.16224435963257305
23,1,0,3,0,197,6,2,0.9790126277310747
23,1,7,4,0,18,8,2,0.3984089101362767
33,0,3,1,0,195,8,2,0.9921895725579197
31,1,7,4,2,2,6,2,0.06770942671755258
33,1,7,4,3,7,7,1,0.493683853920291
19,0,7,4,2,20,6,2,0.19173799367157632
21,0,1,4,2,28,12,3,0.18798658651749098
26,1,7,3,2,47,10,3,0.28630547964571895
28,0,7,4,2,77,6,2,0.19173799367157632
27,0,7,4,1,25,6,1,0.3164268895622758
26,1,7,4,2,5,7,1,0.22163775039350292
25,0,3,3,2,4,4,2,0.2637324381232358
23,1,7,4,3,14,8,2,0.2650325116032955
25,0,7,4,2,6,4,2,0.19173799367157632
27,0,0,4,2,55,8,2,0.8491727391586202
38,0,3,2,3,2,8,2,0.3443428534325977
24,0,7,3,3,4,6,2,0.1616318557017301
23,0,7,1,2,207,6,2,0.9156461283811059
31,1,3,2,2,54,7,3,0.6130862342922467
29,1,7,2,2,17,6,2,0.2854919466483189
24,1,7,4,2,25,8,2,0.19173799367157632
33,1,1,2,2,143,7,3,0.6656281901080415
28,0,3,4,2,5,10,0,0.6872518299682621
21,0,7,4,3,237,6,2,0.6480033370804856
29,1,7,4,0,2,9,2,0.31913290784050563
25,1,7,1,2,1,7,3,0.30614093416389604
23,0,3,4,1,1,8,3,0.09118313753282856
28,1,0,4,2,26,7,2,0.25460057342619274
36,0,0,4,1,5,4,3,0.06904592060832918
36,0,7,4,3,18,10,2,0.2650325116032955
21,0,3,1,0,58,4,2,0.9809705097522461
20,0,3,1,2,218,7,2,0.9684116697565233
27,1,7,2,2,210,8,2,0.6710344546893512
30,0,7,4,2,24,5,3,0.13851507233090157
27,1,3,4,2,2,11,2,0.17020729105823318
24,1,3,3,2,24,6,2,0.4465649943580163
35,1,7,3,2,5,8,2,0.11255358228323815
21,0,7,4,2,34,5,2,0.19173799367157632
36,0,7,4,0,50,6,2,0.5784093084369945
33,1,0,3,3,4,7,3,0.1697029599870693
38,1,3,1,2,192,8,0,0.9915731760291338
34,1,7,4,1,3,11,3,0.034305763809608196
22,1,7,4,2,81,10,2,0.19173799367157632
30,0,7,1,2,2,5,4,0.4914074137621636
29,1,7,1,0,4,6,3,0.7261001124404789
35,0,7,4,1,17,5,2,0.14617156669624295
23,1,7,4,1,2,5,2,0.04980215760699774
27,1,3,4,0,8,8,0,0.9179066853315294
36,0,7,4,1,5,6,2,0.07063023635685803
36,1,7,4,0,3,6,2,0.1685748023948792
26,0,7,3,2,17,8,3,0.1737974195454624
37,1,3,4,3,111,11,2,0.6439343683615386
28,1,7,4,2,2,5,3,0.0469161421399008
35,1,3,4,0,3,5,3,0.36011618545104596
30,1,7,4,2,28,6,2,0.19173799367157632
34,0,7,2,2,60,8,2,0.2854919466483189
27,0,7,0,2,9,7,2,0.9955068437306921
24,1,3,4,2,3,6,3,0.16776966098078253
25,1,3,1,3,110,6,3,0.9422204937037593
26,1,7,4,2,35,9,0,0.6367165868276662
20,0,7,4,2,53,9,2,0.3295081344382887
35,0,7,4,2,0,4,2,0.06770942671755258
26,0,7,1,1,62,6,3,0.6068699872744354
32,1,3,3,2,24,7,3,0.3535476236897154
25,0,7,1,2,0,8,2,0.4914074137621636
30,1,7,3,0,5,7,2,0.26148560225527767
22,0,3,3,2,41,5,3,0.531175650790311
36,0,3,1,0,6,3,2,0.943673323869945
29,1,7,4,2,1,11,2,0.06770942671755258
21,1,7,4,3,1,7,2,0.09942441049554852
31,0,7,1,3,47,8,2,0.8700600658627557
34,1,0,1,3,0,5,1,0.8511499580985917
36,0,0,1,3,205,11,2,0.972424150784952
33,0,1,4,2,15,8,2,0.25460057342619274
23,0,3,0,2,219,5,3,0.9721358131834341
23,0,7,3,1,199,12,2,0.5128060745137323
22,0,3,4,0,8,9,2,0.6516185144181187
19,0,7,2,1,44,8,2,0.37396892316912644
26,0,7,4,2,4,6,2,0.0952756906627491
22,1,7,4,2,72,5,3,0.13851507233090157
33,1,3,0,3,44,6,2,0.9694675201484428
21,0,7,3,0,4,11,3,0.19353793162080746
26,1,7,4,2,7,8,2,0.19173799367157632
36,1,7,4,3,114,6,1,0.6338871469479034
31,0,3,4,2,3,4,0,0.3465852644399397
37,0,3,4,1,36,5,2,0.5004142367026713
22,1,7,1,2,184,5,1,0.9775606603875555
37,1,7,3,0,17,11,2,0.4642186972337638
21,1,3,3,2,1,8,2,0.2115796129386567
32,1,3,4,2,0,6,3,0.12205835951652672
27,0,0,1,2,38,5,2,0.8638026549433292
33,0,3,4,3,76,7,2,0.5045714971936305
21,1,3,2,1,35,6,2,0.4488513055637217
33,0,7,1,2,229,8,3,0.9161088369866378
38,1,3,4,3,1,6,3,0.17446634856967164
29,1,7,4,2,11,6,2,0.19173799367157632
21,0,3,3,2,3,8,2,0.2115796129386567
29,1,3,1,3,3,6,1,0.9420752612176317
32,1,7,3,2,2,6,2,0.08677289082782383
19,1,7,3,2,10,5,3,0.16222822285069657
21,0,3,4,2,2,7,2,0.17020729105823318
24,0,1,4,1,3,6,3,0.0486605772887128
24,1,7,2,3,2,5,3,0.11192945168400854
32,0,7,1,0,1,11,3,0.5519206815495701
20,0,7,0,3,7,10,2,0.8444015846998059
21,1,7,4,2,83,8,3,0.13851507233090157
35,0,0,2,3,1,4,0,0.9725513863790884
33,1,7,4,2,173,5,2,0.5477271131353904
29,1,3,0,2,169,10,2,0.9809429137195483
32,1,7,0,2,128,9,2,0.9666067678836112
36,1,7,1,2,19,7,2,0.6801282715042763
38,0,3,3,2,61,8,3,0.3726910492540855
31,1,7,0,2,0,4,1,0.74717695582635
20,0,7,4,2,109,7,2,0.2963872599615633
35,0,7,4,2,2,4,2,0.06770942671755258
34,0,7,4,3,120,7,2,0.3903649274722598
31,1,7,1,3,3,5,2,0.49737036287702346
23,1,7,0,2,35,8,2,0.850075151553441
25,1,7,3,0,4,9,2,0.26148560225527767
25,0,7,4,1,5,4,2,0.07063023635685803
34,1,7,4,2,1,6,2,0.06770942671755258
23,0,3,2,3,61,6,2,0.6317339026650111
30,0,1,2,1,33,10,2,0.2933765338202381
21,0,3,4,0,7,7,2,0.6516185144181187
34,0,3,2,0,113,8,2,0.8483518490794398
27,1,7,1,2,42,8,2,0.8673392262823717
28,1,7,2,1,4,8,2,0.11348047509190055
24,1,3,3,0,10,4,2,0.692556396964197
27,1,3,4,2,1,7,1,0.35676082222336836
28,1,7,3,1,3,6,2,0.06417089461205494
22,1,7,4,1,66,8,2,0.14617156669624295
21,0,3,2,3,10,7,3,0.5376139353058357
31,0,7,3,0,186,5,3,0.7498768609870122
37,0,7,4,2,18,8,1,0.39077668936847837
27,1,7,4,3,38,7,3,0.3361386014765922
37,1,3,1,3,18,8,2,0.9012689558391219
19,1,3,3,2,2,7,3,0.14342323267346072
33,1,3,1,3,30,6,2,0.9012689558391219
37,0,0,4,2,2,7,2,0.09467131979796875
19,1,3,4,1,2,8,3,0.09118313753282856
32,0,1,1,2,1,5,3,0.48531334383254143
37,0,3,3,3,28,6,2,0.5712652677218227
26,1,7,4,2,235,5,3,0.4508020768233382
32,0,1,1,2,225,12,2,0.9586743879768174
32,0,7,0,3,218,6,3,0.9675573012556451
34,0,7,1,2,9,2,3,0.8280399087928886
20,1,3,4,1,16,5,3,0.24682631673778008
36,0,7,3,1,11,11,2,0.18298990743485014
27,0,7,3,3,63,8,3,0.22741615698116557
32,1,7,4,2,3,4,2,0.06770942671755258
32,1,7,4,2,56,4,3,0.4285179245933201
31,1,7,1,3,4,12,2,0.5892933539817659
25,1,1,0,2,61,9,1,0.9566624273651977
38,0,7,4,0,13,7,3,0.5092442579067384
30,1,7,3,3,10,5,2,0.320550086751266
32,0,7,4,2,1,8,2,0.06770942671755258
36,1,7,4,2,2,5,2,0.06770942671755258
37,0,3,1,3,32,5,4,0.9012689558391219
23,1,7,4,3,49,7,2,0.4276053908218187
19,1,7,2,3,95,11,1,0.7446549728212221
26,0,7,2,2,15,10,3,0.21310624157706284
34,1,7,4,2,179,4,2,0.5477271131353904
31,1,1,4,1,135,7,2,0.9873574042668775
21,0,1,0,0,12,4,2,0.9579678793391625
33,0,3,1,2,2,11,2,0.7318220303041513
30,0,7,3,3,1,8,3,0.08916853688468515
25,1,3,1,2,4,6,1,0.9145232060121089
23,1,7,3,2,1,7,1,0.20440572047666947
20,0,7,1,1,54,5,2,0.7606988015025506
37,0,7,4,2,1,7,3,0.0469161421399008
25,1,7,4,2,33,9,2,0.19173799367157632
37,0,3,4,2,5,7,2,0.22924216265835395
22,1,7,0,0,6,8,2,0.9733991294887026
36,1,7,3,2,6,6,2,0.2222124296375601
38,1,7,1,2,3,12,2,0.48556956474893215
25,0,3,1,1,12,5,2,0.812513978091017
24,1,7,3,2,1,8,2,0.08043270865844954
21,0,7,1,0,55,9,3,0.9252123335386232
22,0,7,2,2,6,7,2,0.1506541603958824
38,1,1,4,2,9,11,1,0.48013135612314384
26,0,7,2,0,0,4,0,0.6712164897709106
20,1,7,2,0,1,7,2,0.25456993055029564
27,1,7,4,2,108,8,2,0.2963872599615633
25,1,3,0,2,10,5,2,0.9412241832652388
20,1,3,2,3,21,6,2,0.6317339026650111
38,1,3,4,3,6,6,2,0.31135061170657247
21,0,0,4,2,29,6,2,0.731015615957452
31,0,7,4,1,6,8,2,0.07063023635685803
20,1,7,3,1,1,6,2,0.06417089461205494
36,1,3,4,0,50,11,3,0.8585850688578005
24,1,3,1,0,11,4,2,0.943708776447091
30,1,7,4,2,24,7,3,0.13851507233090157
33,0,7,4,3,2,11,3,0.06961888680922525
28,0,7,1,0,4,6,1,0.9136118294849241
27,1,3,0,2,4,6,2,0.8766791669282257
32,0,3,1,3,50,4,2,0.9655994920689823
30,1,3,3,0,10,6,2,0.8497819976442471
36,1,7,4,2,31,6,3,0.13851507233090157
24,1,3,4,3,11,11,2,0.5045714971936305
32,1,7,3,2,11,5,2,0.23684998372404348
25,1,7,4,2,2,9,2,0.06770942671755258
36,1,7,1,0,11,10,4,0.8980685915132466
28,0,3,1,3,224,4,3,0.9791158166332662
38,0,1,4,3,35,9,3,0.2603089198669121
28,1,7,4,2,108,7,2,0.2963872599615633
25,0,3,1,2,31,6,2,0.8991258406437996
35,1,3,4,3,0,5,3,0.17446634856967164
24,1,1,1,3,53,9,2,0.9346826720162051
21,1,3,1,2,5,4,2,0.7272118762611947
24,1,3,4,2,18,8,3,0.3122936162960593
19,1,7,2,2,3,9,2,0.10899547604453799
26,0,7,4,2,3,11,2,0.06770942671755258
38,1,3,3,2,30,5,3,0.3726910492540855
24,0,0,4,1,119,5,3,0.2287921819426589
26,1,7,4,2,31,7,2,0.19173799367157632
36,0,7,1,3,4,7,2,0.6804786849840826
22,1,7,4,3,5,8,2,0.13799151878469615
24,1,3,1,2,16,3,0,0.9810915494384082
23,0,1,2,3,48,7,4,0.6443466470219792
38,1,7,1,2,2,6,1,0.6377025750110237
31,0,7,4,2,7,11,3,0.13851507233090157
31,0,1,3,3,5,6,3,0.15835408022403077
31,1,3,1,3,8,4,2,0.9312679796610085
26,0,3,3,3,196,4,2,0.8622935166188029
29,1,3,1,2,6,3,2,0.9311220043363043
25,0,7,3,1,35,8,2,0.18298990743485014
35,0,7,4,1,4,5,3,0.048987114355277986
24,1,7,0,2,227,4,3,0.9515018761663215
23,1,7,4,1,213,7,3,0.3720053794267503
27,1,3,4,3,18,4,2,0.5045714971936305
30,0,7,1,0,16,5,2,0.8980685915132466
25,0,3,4,2,4,5,2,0.22924216265835395
20,1,7,4,2,0,4,3,0.0469161421399008
35,1,3,4,0,2,10,2,0.3641257631067116
19,1,3,0,0,165,6,2,0.9930891831354749
27,0,7,3,2,2,9,2,0.08677289082782383
34,1,7,3,2,10,10,2,0.23684998372404348
22,0,3,2,1,41,6,3,0.5334775831660098
37,1,7,4,2,9,4,2,0.19173799367157632
29,0,3,4,2,216,7,2,0.7737751171854721
21,0,7,4,3,10,7,3,0.19640828735719237
30,1,7,3,3,191,6,1,0.8668870604404392
38,0,3,3,1,2,6,2,0.1513033793430901
25,1,7,4,3,236,12,1,0.8327135347664527
20,0,3,3,3,197,11,2,0.871832933169638
19,0,7,2,3,73,4,2,0.3778702566185759
30,1,3,1,2,16,5,3,0.8027703092123406
34,1,7,4,2,59,10,2,0.3295081344382887
19,1,7,4,2,1,5,2,0.06770942671755258
26,0,7,4,2,4,6,2,0.0952756906627491
35,0,0,3,0,11,11,2,0.5345373918554425
21,0,0,4,3,7,4,2,0.3417643366081469
23,0,7,3,3,21,4,3,0.22741615698116557
22,1,7,4,1,8,8,2,0.14617156669624295
24,1,3,4,2,27,6,2,0.401193131209257
28,0,7,2,1,10,8,2,0.22381462580496778
33,0,3,3,3,27,9,2,0.5712652677218227
30,0,0,4,3,232,5,2,0.7260764618409107
37,1,0,4,3,1,5,2,0.1371572630938399
23,1,3,3,0,28,4,2,0.838904604947796
22,0,3,1,3,9,5,2,0.9312679796610085
21,0,1,0,2,38,8,1,0.9664357399530211
37,1,7,1,2,26,7,2,0.6801282715042763
35,0,3,3,2,164,10,3,0.7362885493207384
21,0,7,0,0,179,4,2,0.9946755022824627
32,0,0,4,2,76,8,3,0.18798658651749098
36,1,7,3,2,156,8,1,0.7977250563665184
